mode,latency_ms,success,steps,final_position_error,final_velocity_norm,mean_position_error,max_position_error,achieved_control_rate_hz,policy_latency_p95_ms,observation_wait_age_p95_ms,plan_age_p95_ms,action_age_p95_ms,action_age_max_ms,decomposition_error_ms,produced_observations,consumed_observations,dropped_observations,produced_chunks,replaced_chunks,dropped_actions,max_observation_queue_depth,max_action_queue_depth,final_observation_queue_depth,final_action_queue_depth
ASYNC_FIFO,0,0,100,0.955918487906456,0.8976782754063606,0.955918487906456,0.0,19.95633789386257,0.5701265297830105,0.21912632510066032,4454.533138871193,4454.988932004198,4650.0209430698305,0.0,100,100,0,100,0,0,1,93,0,93
ASYNC_FIFO,25,0,100,0.955918487906456,0.8976782754063606,0.955918487906456,0.0,19.936328877299974,25.598964281380177,0.23518051020801067,4429.605771829374,4455.020728097297,4650.030837347731,0.0,100,100,0,100,0,0,1,93,0,93
ASYNC_FIFO,50,0,100,0.9875238493084908,0.9547859102487564,0.9875238493084908,0.0,19.860197949798604,50.58774086646736,2.2079752292484045,4405.014456496574,4457.528754384257,4650.018395902589,0.0,100,100,0,100,0,0,1,93,0,93
ASYNC_FIFO,100,0,100,1.0104865953326225,0.9704744756221771,1.0104865953326225,0.0,19.913765876351974,100.62908679246902,252.44995173998177,4107.207048209384,4460.021865731105,4650.078890286386,0.0,100,50,0,50,0,0,50,43,50,43
ASYNC_FIFO,200,0,100,1.0310448750853538,1.1160183757543565,1.0310448750853538,0.0,19.95227677290966,200.90007707476616,752.9651922173798,3511.644784612581,4465.013113822788,4700.009520817548,0.0,100,25,0,25,0,0,75,19,75,19
ASYNC_FIFO,400,0,100,1.021213237941265,1.4269159883260727,1.021213237941265,0.0,19.19698909692194,400.7943008095026,1753.6087159533054,2371.090745436959,4475.027691992,4699.998202268034,0.0,100,13,0,13,0,0,87,7,87,7
ASYNC_LATEST,0,1,48.15,0.025697250850498676,0.0477472472935915,0.025697250850498676,0.0,19.993091235541232,0.4705534828826785,1.016442843247205,49.69150066841394,50.056431950069964,50.39345356635749,0.0,48.15,48.15,0,48.15,47.15,707.25,1,1,0,1
ASYNC_LATEST,25,1,48.15,0.025697250850498676,0.0477472472935915,0.025697250850498676,0.0,19.994061762140515,25.49087013117969,1.00420949049294,24.62648107437417,50.06199782714248,50.14666970819235,0.0,48.15,48.15,0,48.15,47.15,707.25,1,1,0,1
ASYNC_LATEST,50,1,48,0.02538221385329962,0.04751471038907766,0.02538221385329962,0.0,19.860891837551197,50.47437054570764,14.61036799941212,47.739053966943175,100.06476665614173,100.2364740241319,0.0,48,48,0,48,47,706,1,1,0,1
ASYNC_LATEST,100,1,47.1,0.025929922051727772,0.047546879760921,0.025929922051727772,0.0,19.783350002013773,100.58595245936885,9.387337246444076,97.31355156516656,200.04350990289822,200.46781711280346,0.0,47.1,23.7,22.7,23.7,22.7,319.1,1,1,0.7,1
ASYNC_LATEST,200,1,56.85,0.0231964242644608,0.03939781058579683,0.0231964242644608,0.0,19.321464834397606,200.72875486453995,9.806916133966297,196.82334529003128,400.0368118379265,402.6571055408567,0.0,56.85,14.65,41.5,14.65,13.65,166.55,1,1,0.7,1
ASYNC_LATEST,400,0.05,99.35,0.08010952416807413,0.4784224947914481,0.08010952416807413,0.0,19.221238965753315,400.9662632830441,7.643908262252808,395.1628988934681,800.0103733409196,800.1034524291754,0.0,99.35,12.9,85.45,12.9,11.9,100.05,1,1,1,1
SYNC,0,1,48.55,0.02595532834529877,0.04849950484931469,0.02595532834529877,0.0,19.99890717662774,4.40795308444649,0.0,149.66042667161673,150.01003902871162,150.07741693407297,0.0,12.6,12.6,0,12.6,0,0,0,0,0,0
SYNC,25,1,48.55,0.02595532834529877,0.04849950484931469,0.02595532834529877,0.0,19.998778679035805,25.700967805460095,0.0,124.56541570601985,150.01381961395964,150.16809729859233,0.0,12.6,12.6,0,12.6,0,0,0,0,0,0
SYNC,50,1,48.55,0.02595532834529877,0.04849950484931469,0.02595532834529877,0.0,19.997079209324053,50.80838417634368,0.0,99.55558489309624,150.00973222777247,150.1170123461634,0.0,12.6,12.6,0,12.6,0,0,0,0,0,0
SYNC,100,1,48.55,0.02595532834529877,0.04849950484931469,0.02595532834529877,0.0,19.848024458686176,100.71510039269924,0.0,49.57041616784409,150.00605382723734,150.09524100460112,0.0,12.6,12.6,0,12.6,0,0,0,0,0,0
SYNC,200,1,48.55,0.02595532834529877,0.04849950484931469,0.02595532834529877,0.0,19.158717446981385,200.94632375985384,0.0,0.4374815966002643,201.2815358582884,201.40645247884095,0.0,12.6,12.6,0,12.6,0,0,0,0,0,0
SYNC,400,1,48.55,0.02595532834529877,0.04849950484931469,0.02595532834529877,0.0,9.601040660907293,401.10821183770895,0.0,0.5370049597695465,401.5116748935543,401.776485145092,0.0,12.6,12.6,0,12.6,0,0,0,0,0,0
